date,close
2023-01-01,100.33920916684816
2023-01-02,99.4807917568991
2023-01-03,100.37527791270627
2023-01-04,100.72425878285118
2023-01-05,100.80661083336287
2023-01-06,101.07311282159148
2023-01-07,101.38539744661759
2023-01-08,101.31910915562956
2023-01-09,101.77158729705145
2023-01-10,101.20696840038525
2023-01-11,100.56751520873772
2023-01-12,101.79641176578761
2023-01-13,101.5335389466643
2023-01-14,101.83195688686575
2023-01-15,102.40953402381444
2023-01-16,101.1755554621377
2023-01-17,102.27007658384962
2023-01-18,102.77543510264381
2023-01-19,102.97836141533134
2023-01-20,103.38897754089861
2023-01-21,103.43069594038465
2023-01-22,104.10007756634883
2023-01-23,103.49716354623173
2023-01-24,104.1553509133217
2023-01-25,103.86409823329711
2023-01-26,104.7206318002654
2023-01-27,104.04878180738396
2023-01-28,103.48989056695741
2023-01-29,104.40135390959541
2023-01-30,105.42802335273734
2023-01-31,105.27953016044856
2023-02-01,105.24577324439065
2023-02-02,105.80771569765322
2023-02-03,105.383373377915
2023-02-04,105.31286846074882
2023-02-05,105.52212614645107
2023-02-06,106.86996907591265
2023-02-07,106.78657525874861
2023-02-08,107.20739758799053
2023-02-09,106.66564783142923
2023-02-10,106.87270616088382
2023-02-11,107.27210816804639
2023-02-12,106.91670499493512
2023-02-13,107.25120850046619
2023-02-14,107.35070508772614
2023-02-15,108.56485781983402
2023-02-16,107.46685532257355
2023-02-17,107.36643351469283
2023-02-18,108.64806350600482
2023-02-19,108.26612259448451
2023-02-20,108.71200157807277
2023-02-21,108.44720730625357
2023-02-22,108.81937630070716
2023-02-23,109.50252802634722
2023-02-24,109.08262335981829
2023-02-25,108.77126518466315
2023-02-26,110.17365943961825
2023-02-27,109.52647843425787
2023-02-28,110.032584837222
2023-03-01,110.16124603947281
